Rank,name,Ovr. Rank,Avg. Rank,ESPN Rank,NBADraft Rank,Athletic Rank,CBS Rank,Tankathon Rank,Ringer Rank,SI Rank,BR Rank,Age (by 10/16),Position,Height w/ shoes,Wingspan,Reach,Hand width,Weight (lbs),Max Vertical,Lane (sec),Shuttle (sec),3/4 Sprint (sec),School,GP,MP,PTS,REB,AST,STL,BLK,TOV,PF,FGA,FG%,2PA,2P%,NCAA__3ptapg,NCAA__3ptpct,FTA,NCAA_ft,TS%,PTS/36,REB/36,AST/36,STL/36,BLK/36,TOV/36,PF/36,FGA/36,2PA/36,3PA/36,FTA/36,Info
-1,"Ball, LaMelo",1,2.00,1,6,1,1,1,3,2,1,19,PG,"6'8""",,,,180,,,,,United States,12,31.3,17.0,7.6,6.8,1.6,0.1,2.6,2.6,16.7,0.375,10.0,0.458,6.7,0.250,3.9,0.723,0.462,19.6,8.7,7.8,1.8,0.1,3.0,3.0,19.2,11.5,7.7,4.5,https://www.basketball-reference.com/international/players/lamelo-ball-1.html
0,"Edwards, Anthony",2,3.00,2,1,3,3,8,2,1,4,19,SG,"6'5""","6'10""",,,225,,,,,Georgia,32,33.0,19.1,5.2,2.8,1.3,0.6,2.7,2.2,15.8,0.402,8.1,0.504,7.7,0.294,5.3,0.772,0.527,20.8,5.7,3.1,1.4,0.7,2.9,2.4,17.2,8.8,8.4,5.8,https://www.sports-reference.com/cbb/players/anthony-edwards-2.html
1,"Wiseman, James",3,3.88,3,7,2,2,3,5,3,6,19,C,"7'1""","7'6""",,,235,,,,,Memphis,3,23.0,19.7,10.7,0.3,0.3,3.0,1.0,1.7,8.7,0.769,8.3,0.800,0.3,0.000,9.0,0.704,0.778,30.8,16.7,0.5,0.5,4.7,1.6,2.7,13.6,13.0,0.5,14.1,https://www.sports-reference.com/cbb/players/james-wiseman-1.html
2,"Okongwu, Onyeka",4,5.13,5,3,4,8,2,10,6,3,19,C,"6'9""","7'1""",,,235,,,,,Southern California,26,30.6,16.2,8.6,1.1,1.2,2.7,2.0,2.7,10.1,0.616,10.0,0.621,0.1,0.250,5.1,0.720,0.656,19.1,10.1,1.3,1.4,3.2,2.4,3.2,11.9,11.8,0.1,6.0,https://www.sports-reference.com/cbb/players/onyeka-okongwu-1.html
3,"Hayes, Killian",5,5.63,10,9,10,4,4,1,5,2,19,PG,"6'5""","6'9""",,,192,,,,,France,10,26.8,12.8,2.3,6.2,1.5,0.2,3.3,3.2,10.1,0.455,6.0,0.500,4.1,0.390,2.2,0.909,0.578,17.2,3.1,8.3,2.0,0.3,4.4,4.3,13.6,8.1,5.5,3.0,https://www.basketball-reference.com/international/players/killian-hayes-1.html
4,"Toppin, Obi",6,6.38,6,2,8,5,6,12,7,5,22,PF,"6'9""","7'2""",,,220,,,,,Dayton,31,31.6,20.0,7.5,1.8,0.6,0.8,2.2,1.6,12.5,0.633,9.8,0.698,2.6,0.390,4.5,0.713,0.691,22.8,8.5,2.1,0.7,0.9,2.5,1.8,14.2,11.2,3.0,5.1,https://www.sports-reference.com/cbb/players/obadiah-toppin-1.html
5,"Avdija, Deni",7,6.50,4,8,6,7,7,4,8,8,19,SF,"6'9""","6'10""",,,215,,,,,Israel,28,27.1,13.5,6.1,2.6,0.8,0.9,1.9,2.0,9.3,0.550,5.3,0.671,4.0,0.387,3.1,0.581,0.633,17.9,8.1,3.5,1.1,1.2,2.5,2.7,12.4,7.0,5.3,4.1,https://basket.co.il/player.asp?PlayerId=11166&lang=en#player-stats-1
6,"Haliburton, Tyrese",8,7.75,8,10,7,6,5,9,4,13,20,PG,"6'5""","6'8""",,,175,,,,,Iowa State,22,34.6,15.2,5.9,6.5,2.5,0.7,2.8,1.3,11.1,0.504,5.5,0.592,5.6,0.419,2.0,0.822,0.634,15.8,6.1,6.8,2.6,0.7,2.9,1.4,11.5,5.7,5.8,2.1,https://www.sports-reference.com/cbb/players/tyrese-haliburton-1.html
7,"Okoro, Isaac",9,8.63,7,5,5,9,13,11,10,9,19,SF,"6'6""","6'8.5""",,,225,,,,,Auburn,28,31.5,12.9,4.4,2.0,0.9,0.9,2.0,2.7,8.7,0.514,6.2,0.607,2.5,0.286,4.8,0.672,0.597,14.7,5.0,2.3,1.0,1.0,2.3,3.1,9.9,7.1,2.9,5.5,https://www.sports-reference.com/cbb/players/isaac-okoro-1.html
8,"Vassell, Devin",10,9.88,11,11,11,12,10,6,11,7,20,SG,"6'5""","6'10""",,,180,,,,,Florida State,30,28.8,12.7,5.1,1.6,1.4,1.0,0.8,1.9,9.8,0.490,6.3,0.532,3.5,0.415,2.2,0.738,0.590,15.9,6.4,2.0,1.8,1.3,1.0,2.4,12.3,7.9,4.4,2.8,https://www.sports-reference.com/cbb/players/devin-vassell-1.html
