Rank,name,Position,School,Birthday,Age,Height,Weight (lbs),Wingspan,Hand Width,Reach,Lane (sec),Shuttle (sec),3/4 Sprint (sec),Max Vertical,Ovr. Rank,Avg. Rank,ESPN Rank,NBADraft Rank,Athletic Rank,CBS Rank,Tankathon Rank,Ringer Rank,SI Rank,BR Rank,GP,MP,PTS,OREB,DREB,TREB,AST,STL,BLK,TOV,PF,FGM,FGA,FG%,2PM,2PA,2P%,3PM,NCAA__3ptapg,NCAA__3ptpct,FTM,FTA,NCAA_ft,TS%,PTS/36,OREB/36,DREB/36,TREB/36,AST/36,STL/36,BLK/36,TOV/36,PF/36,FGA/36,2PA/36,3PA/36,FTA/36,Info
-1,"Wembanyama, Victor",C,France,1/4/04,20.50,"7'4""",240,"8'0""",,,,,,,1,1.00,1,1,1,1,1,1,1,1,43,32.2,20.7,1.7,8.4,10.2,2.5,0.8,3.0,2.8,2.1,7.2,15.4,0.469,6.0,10.8,0.552,1.3,4.6,0.274,5.0,6.0,0.822,1.046,23.1,1.9,9.4,11.4,2.8,0.9,3.3,3.2,2.4,8.1,12.1,5.1,6.7,https://basketball.realgm.com/player/Victor-Wembanyama/Summary/136048
0,"Henderson, Scoot",PG,G-League Ignite,2/3/04,20.42,"6'4""",195,"6'9""",,,,,,,2,2.25,3,2,2,2,2,3,2,2,19,30.7,16.5,1.1,4.3,5.4,6.5,1.1,0.5,3.5,3.3,6.1,14.1,0.433,5.4,11.4,0.474,0.7,2.7,0.259,2.2,2.9,0.759,1.118,19.3,1.3,5.0,6.3,7.6,1.3,0.6,4.1,3.9,7.2,13.4,3.2,3.4,https://www.basketball-reference.com/gleague/players/h/hendesc01d.html
1,"Miller, Brandon",SF,Alabama,11/22/02,21.62,"6'9""",200,"6'11""",,,,,,,3,3.00,2,3,4,3,3,2,3,4,37,32.6,18.8,2.1,6.2,8.3,2.1,0.9,0.9,2.2,2.4,6.0,13.9,0.432,3.1,6.4,0.484,2.9,7.5,0.387,3.9,4.6,0.848,1.171,20.8,2.3,6.8,9.2,2.3,1.0,1.0,2.4,2.7,6.6,7.1,8.3,5.1,https://www.sports-reference.com/cbb/players/brandon-miller-3.html
2,"Thompson, Amen",PG,Overtime Elite,1/30/03,21.43,"6'7""",214,"7'0""","8.5""","8'7.5""",,,,,4,4.25,4,8,2,4,4,5,4,3,16,28.2,16.3,,,6.4,6.2,2.4,0.8,3.2,2.1,6.5,11.4,0.570,5.9,8.7,0.678,0.6,2.7,0.222,2.6,4.1,0.634,0.981,20.8,,,8.2,7.9,3.1,1.0,4.1,2.7,8.3,11.1,3.4,5.2,https://www.tankathon.com/players/amen-thompson
3,"Thompson, Ausar",SG,Overtime Elite,1/30/03,21.43,"6'7""",218,"7'0""","9.25""","8'8""",,,,,5,6.25,5,7,9,6,5,4,8,6,16,27.6,16.3,,,6.9,6.1,2.7,1.3,3.4,1.9,6.1,12.6,0.484,5.0,8.8,0.568,1.1,3.8,0.289,3.1,4.6,0.674,1.003,21.3,,,9.0,8.0,3.5,1.7,4.4,2.5,8.0,11.5,5.0,6.0,https://www.tankathon.com/players/ausar-thompson
4,"Walker, Jarace",PF,Houston,9/4/03,20.84,"6'8""",249,"7'2.5""","10""","8'8.5""",10.89,,3.20,38.0,6,6.88,7,11,6,7,6,7,6,5,36,27.6,11.2,2.3,4.5,6.8,1.8,1.0,1.3,1.5,2.1,4.4,9.4,0.468,3.4,6.6,0.515,1.0,2.8,0.357,1.5,2.2,0.682,1.043,14.6,3.0,5.9,8.9,2.3,1.3,1.7,2.0,2.7,5.7,8.6,3.7,2.9,https://www.sports-reference.com/cbb/players/jarace-walker-1.html
5,"Whitmore, Cam",SF,Villanova,7/8/04,19.99,"6'7""",235,"6'8.5""","8.25""","8'7.5""",10.82,3.26,3.20,40.5,7,6.88,6,9,3,5,7,9,7,9,26,27.3,12.5,0.8,4.5,5.3,0.7,1.4,0.3,1.6,1.7,4.7,9.8,0.480,3.3,5.6,0.589,1.4,4.2,0.333,1.7,2.5,0.680,1.078,16.5,1.1,5.9,7.0,0.9,1.8,0.4,2.1,2.2,6.2,7.4,5.5,3.3,https://www.sports-reference.com/cbb/players/cam-whitmore-1.html
6,"Hendricks, Taylor",PF,UCF,11/22/03,20.62,"6'9""",214,"7'0.5""","10.25""","8'11""",11.27,,3.32,36.0,8,7.25,9,5,4,9,8,6,9,8,34,34.7,15.1,2.4,4.6,7.0,1.4,0.9,1.7,1.4,2.0,5.4,11.3,0.478,3.6,6.7,0.537,1.8,4.6,0.391,2.5,3.2,0.781,1.109,15.7,2.5,4.8,7.3,1.5,0.9,1.8,1.5,2.1,5.6,7.0,4.8,3.3,https://www.sports-reference.com/cbb/players/taylor-hendricks-1.html
7,"Black, Anthony",PG,Arkansas,1/20/04,20.46,"6'7""",210,"6'7.5""","9.5""","8'6.5""",11.04,,3.35,32.0,9,7.75,8,4,8,8,9,8,5,12,36,34.9,12.8,1.3,3.8,5.1,3.9,2.1,0.6,3.0,2.6,4.1,9.1,0.451,3.3,6.5,0.508,0.8,2.6,0.308,3.7,5.3,0.698,0.995,13.2,1.3,3.9,5.3,4.0,2.2,0.6,3.1,2.7,4.2,6.7,2.7,5.5,https://www.sports-reference.com/cbb/players/anthony-black-1.html
8,"Dick, Gradey",SG,Kansas,11/20/03,20.63,"6'8""",204,"6'9""","9""","8'5""",11.13,2.97,3.50,34.0,10,10.63,10,6,16,10,10,12,11,10,36,32.7,14.1,1.1,4.0,5.1,1.7,1.4,0.3,1.3,2.1,4.8,10.9,0.440,2.5,5.2,0.481,2.3,5.7,0.404,2.1,2.5,0.840,1.195,15.5,1.2,4.4,5.6,1.9,1.5,0.3,1.4,2.3,5.3,5.7,6.3,2.8,https://www.sports-reference.com/cbb/players/gradey-dick-1.html
