Rank,name,Position,School,Birthday,Age,Height,Wingspan,Weight (lbs),Hand Width,Reach,Standing Vert (in),Max Vert (in),Lane (sec),Shuttle (sec),3/4 Sprint (sec),Ovr. Rank,Avg. Rank,ESPN,The Athletic,CBS Sports,Tankathon,The Ringer,No Ceilings,Yahoo,GP,GS,MP,PTS,OREB,DREB,TREB,AST,STL,BLK,TOV,PF,FGM,FGA,FG%,2PM,2PA,2P%,3PM,NCAA__3ptapg,NCAA__3ptpct,FTM,FTA,NCAA_ft,TS%,PTS/36,OREB/36,DREB/36,TREB/36,AST/36,STL/36,BLK/36,TOV/36,PF/36,FGA/36,2PA/36,3PA/36,FTA/36,Info,
-1,"Sarr, Alexandre",C,Australia,4/26/05,19.19,"7'1""","7'4.25""",224,"10""","9'2""",30.50,37.0,11.43,3.23,3.27,1,2.57,2,1,1,4,7,1,2,24,,17.2,9.7,1.4,3.0,4.4,0.9,0.5,1.3,1.1,1.4,3.7,7.1,0.520,3.1,5.2,0.605,0.6,2.0,0.298,1.7,2.3,0.714,0.654,20.3,2.9,6.3,9.2,1.9,1.0,2.7,2.3,2.9,7.7,10.9,4.2,4.8,https://www.basketball-reference.com/international/players/alexandre-sarr-1.html,
0,"Sheppard, Reed",PG,Kentucky,6/24/04,20.03,"6'3""","6'6.25""",182,"9""","7'9.5""",32.50,42.0,10.96,3.03,3.08,2,3.57,4,2,3,2,4,5,5,33,5,28.9,12.5,0.4,3.8,4.1,4.5,2.5,0.7,2.0,1.9,4.3,8.0,0.536,2.0,3.6,0.555,2.3,4.4,0.521,1.6,2.0,0.831,0.747,15.6,0.5,4.7,5.1,5.6,3.1,0.9,2.5,2.4,5.4,4.5,5.5,2.5,https://www.sports-reference.com/cbb/players/reed-sheppard-2.html,
1,"Risacher, Zaccharie",SF,France,4/8/05,19.24,6' 9.75'',6' 9.5'',195,"8.75""",8' 11'',25.00,31.0,11.51,2.97,3.38,3,3.71,1,5,2,3,8,6,1,32,,22.0,10.1,1.2,2.6,3.8,0.9,0.8,0.3,1.3,2.4,3.3,7.5,0.439,2.1,4.1,0.511,1.2,3.4,0.352,2.3,3.1,0.740,0.645,16.5,2.0,4.3,6.2,1.5,1.3,0.5,2.1,3.9,5.4,6.7,5.6,5.1,https://www.basketball-reference.com/international/players/zaccharie-risacher-1.html,
2,"Clingan, Donovan",C,UConn,2/23/04,20.37,"7'3""","7'6.75""",282,"10.25""","9'7""",25.50,29.0,12.06,3.38,3.46,4,3.71,3,4,4,7,2,3,3,35,33,22.5,13.0,2.5,4.9,7.4,1.5,0.5,2.5,0.8,2.0,5.3,8.3,0.639,5.3,8.1,0.650,0.1,0.2,0.250,2.3,4.0,0.583,0.760,20.8,4.0,7.8,11.8,2.4,0.8,4.0,1.3,3.2,8.5,13.0,0.3,6.4,https://www.sports-reference.com/cbb/players/donovan-clingan-1.html,
3,"Castle, Stephon",SG,UConn,11/1/04,19.68,"6'6.75""","6'9""",210,"8.75""","8'6""",28.50,37.0,10.93,2.91,3.19,5,3.86,6,3,5,6,1,2,4,34,30,27.0,11.1,1.7,3.0,4.7,2.9,0.8,0.5,1.5,2.4,4.0,8.5,0.472,3.4,6.3,0.544,0.6,2.2,0.267,2.4,3.2,0.755,0.628,14.8,2.3,4.0,6.3,3.9,1.1,0.7,2.0,3.2,5.3,8.4,2.9,4.3,https://www.sports-reference.com/cbb/players/stephon-castle-2.html,
4,"Buzelis, Matas",SF,G-League Ignite,10/13/04,19.73,"6'10""","6'10""",197,"9.25""","8'9.5""",31.00,38.0,10.73,2.90,3.09,6,7.57,5,12,9,5,3,13,6,34,32,31.0,14.1,1.6,5.0,6.6,1.9,0.9,1.9,2.2,2.4,5.4,11.8,0.455,4.5,8.4,0.533,0.9,3.4,0.261,1.4,2.0,0.696,0.584,16.4,1.8,5.8,7.7,2.3,1.1,2.3,2.5,2.8,6.2,9.7,3.9,2.4,https://basketball.realgm.com/player/Matas-Buzelis/Summary/176589,
5,"Knecht, Dalton",SF,Tennessee,4/19/01,23.21,"6'6.5""","6'9""",212,"9.5""","8'7.5""",31.00,39.0,10.56,2.79,3.07,7,7.57,7,9,6,8,9,7,7,36,36,30.6,21.7,0.8,4.1,4.9,1.8,0.7,0.6,1.7,1.8,7.3,16.0,0.458,4.8,9.5,0.499,2.6,6.5,0.397,4.4,5.7,0.772,0.664,25.5,0.9,4.8,5.8,2.1,0.8,0.7,2.0,2.1,8.6,11.2,7.6,6.7,https://www.sports-reference.com/cbb/players/dalton-knecht-1.html,
6,"Topic, Nikola",PG,Serbia,8/10/05,18.90,6' 7'',6' 5.5'',203,"9""",8' 6'',,,,,,8,8.14,10,13,8,1,11,4,10,12,,33.8,18.4,0.8,2.8,3.6,7.1,1.0,0.2,3.2,3.8,6.7,12.8,0.523,5.5,8.3,0.667,1.2,4.5,0.259,3.9,4.6,0.855,0.698,19.6,0.9,3.0,3.8,7.6,1.1,0.2,3.4,4.0,7.1,8.8,4.8,4.9,https://www.basketball-reference.com/international/players/nikola-topic-1.html,
7,"Williams, Cody",SF,Colorado,11/20/04,19.63,"6'7.75""","7'1""",178,"9""","8'7""",31.00,35.5,11.17,2.93,3.06,9,9.71,11,6,11,12,12,8,8,24,18,28.4,11.9,0.7,2.3,3.0,1.6,0.6,0.7,2.0,2.0,4.5,8.1,0.552,3.8,6.4,0.588,0.7,1.7,0.415,2.3,3.2,0.714,0.707,15.1,0.9,2.9,3.8,2.0,0.8,0.9,2.5,2.5,5.7,8.1,2.2,4.1,https://www.sports-reference.com/cbb/players/cody-williams-2.html,
8,"Carter, Devin",SG,Providence,3/18/02,22.30,"6'3.5""","6'8.75""",193,"9""","8'2""",35.00,42.0,10.63,2.90,2.87,10,10.14,12,7,12,13,5,11,11,33,33,35.3,19.7,1.0,7.7,8.7,3.6,1.8,1.0,2.7,1.9,6.6,14.0,0.473,4.1,7.3,0.563,2.5,6.8,0.377,3.9,5.2,0.749,0.687,20.1,1.0,7.9,8.9,3.7,1.8,1.0,2.8,1.9,6.7,7.4,6.9,5.3,https://www.sports-reference.com/cbb/players/devin-carter-3.html,
